"연번","업소명","지번"
"1"," 무화잠 강남지점"," 서울특별시 강남구 역삼동 831번지 11호 서울빌딩지상1층101호지상2층201호"
"2"," 크롬바커하우스"," 서울특별시 강남구 역삼동 831번지 11호 지상1층"
"3"," 케이더블유 코퍼레이션"," 서울특별시 강남구 역삼동 831번지 17호 경원빌딩 지상1층, B1층"
"4"," 한방삼계탕"," 서울특별시 강남구 역삼동 831번지 17호 지상1,2층"
"5"," 한방삼계탕"," 서울특별시 강남구 역삼동 831번지 18호 지상1층"
"6"," 블루밍가든강남점"," 서울특별시 강남구 역삼동 826번지 14호 지하1층"
"7"," 붓처스컷 강남점"," 서울특별시 강남구 역삼동 826번지 14호"
"8"," 투썸플레이스강남대륭타워"," 서울특별시 강남구 역삼동 826번지 20호 대륭타워1층"
"9"," 비바루체"," 서울특별시 강남구 역삼동 826번지 20호 지하1층"
"10"," 오실이"," 서울특별시 강남구 역삼동 825번지 9호 지하1층"
"11"," (주)아워홈키사라"," 서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하1층"
"12"," (주)아워홈아모리스강남"," 서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하1층"
"13"," 자스민메리츠타워점"," 서울특별시 강남구 역삼동 825번지 2호 메리츠타워지하2층"
"14"," 소노야"," 서울특별시 강남구 역삼동 825번지 강남역내 지하"
"15"," 크리스탈스카이라운지"," 서울특별시 강남구 역삼동 825번지 미진프라자21층"
"16"," 삼끼니 강남역점"," 서울특별시 강남구 역삼동 825번지 신분당선 강남역지하1층"
"17"," 시리우스"," 서울특별시 강남구 역삼동 825번지"
"18"," 구레스시"," 서울특별시 강남구 역삼동 825번지 0호"
"19"," (주)카페프라하"," 서울특별시 강남구 역삼동 820번지 11호"
"20"," (주)제이제이코리아"," 서울특별시 강남구 역삼동 820번지 9호 -202"
"21"," (주)푸드밸런스강남지점"," 서울특별시 강남구 역삼동 820번지 9호 지상9층-901"
"22"," 스칼라티움(Scalatium)"," 서울특별시 강남구 역삼동 820번지 10호 올림피아빌딩 지하1층"
"23"," 피어날레"," 서울특별시 강남구 역삼동 820번지 8호 지하1층"
"24"," 씨제이푸드빌(주)빕스강남점"," 서울특별시 강남구 역삼동 820번지 8호 지상3층"
"25"," 강남스시오"," 서울특별시 강남구 역삼동 820번지 5호"
"26"," 투썸커피강남역"," 서울특별시 강남구 역삼동 820번지 1~3층"
"27"," 사보텐 강남2호점"," 서울특별시 강남구 역삼동 820번지 지하1층"
"28"," 투썸커피강남역"," 서울특별시 강남구 역삼동 820번지 지하2층"
"29"," 프리모 바치오바치"," 서울특별시 강남구 역삼동 816번지 3호 2층"
