"연번","업소명","지번"
"1"," 김밥천국"," 서울특별시 강남구 대치동 907번지 15호 지상1층102호"
"2"," 김밥타운"," 서울특별시 강남구 대치동 907번지 15호"
"3"," 코벤트가든"," 서울특별시 강남구 대치동 898번지 11호 지상1층"
"4"," 식판"," 서울특별시 강남구 대치동 898번지 8호 2층"
"5"," 인"," 서울특별시 강남구 대치동 898번지 4호 지상2층"
"6"," 국수나무"," 서울특별시 강남구 대치동 898번지 4호"
"7"," 너를 품으러 가리라 바다야"," 서울특별시 강남구 대치동 898번지 4호 -201"
"8"," 도리 손 칼국수"," 서울특별시 강남구 대치동 898번지 4호"
"9"," 본도시락(선릉개나리아파트점)"," 서울특별시 강남구 대치동 898번지 4호"
"10"," 카사"," 서울특별시 강남구 대치동 898번지 0호 지하1층"
"11"," 마들렌케익"," 서울특별시 강남구 대치동 897번지 3호 2층1호"
"12"," 만복국수"," 서울특별시 강남구 대치동 897번지 3호 지상1층 3호"
"13"," 전라도맛"," 서울특별시 강남구 대치동 897번지 3호 지상1층6호"
"14"," 주안상"," 서울특별시 강남구 대치동 897번지 3호 지상1층9호"
"15"," 스마일"," 서울특별시 강남구 대치동 897번지 3호 지하1층"
"16"," 대치닭칼국수"," 서울특별시 강남구 대치동 897번지 3호 진선상가 104호"
"17"," 청국장 서갈비"," 서울특별시 강남구 대치동 897번지 3호"
"18"," 명동칼국수.샤브샤브선릉점"," 서울특별시 강남구 대치동 897번지 2층6호"
"19"," 김밥천국"," 서울특별시 강남구 대치동 897번지 0호 지상1층 7호"
"20"," 국대떡볶기선릉점"," 서울특별시 강남구 대치동 897번지 0호 지상1층 8호"
"21"," 강남옛날돈까스,즉석떡볶이"," 서울특별시 강남구 대치동 897번지 0호 지상2층1호"
"22"," 우리집만두"," 서울특별시 강남구 대치동 897번지 0호"
"23"," 본죽(선능점)"," 서울특별시 강남구 대치동 897번지 0호"
"24"," 커피볶는남자"," 서울특별시 강남구 대치동 897번지"
"25"," 부엉이 밥상"," 서울특별시 강남구 대치동 897번지"
"26"," 코코브루니 선릉점"," 서울특별시 강남구 역삼동 708번지 38호 금원빌딩 지상1-2층"
"27"," 스패뉴선릉점"," 서울특별시 강남구 대치동 889번지 45호 지상2층"
"28"," 버거킹선릉역점"," 서울특별시 강남구 역삼동 708번지 36호 지상1, 2층"
"29"," 루벤스"," 서울특별시 강남구 역삼동 708번지 36호 지하1층"
"30"," 미스터차우 선릉점"," 서울특별시 강남구 역삼동 708번지 36호"
"31"," 돈 크레이지"," 서울특별시 강남구 대치동 889번지 41호 2층"
"32"," 사랑방한식"," 서울특별시 강남구 역삼동 708번지 26호 에스케이허브208,209호"
"33"," 포레스트"," 서울특별시 강남구 역삼동 708번지 26호 지상1층110호"
"34"," 889식당"," 서울특별시 강남구 대치동 889번지 40호 1층"
"35"," 미스터피자선릉점"," 서울특별시 강남구 역삼동 708번지 7호"
"36"," 미스터피자선릉역점"," 서울특별시 강남구 역삼동 708번지 7호"
"37"," 신의주부대찌게 선릉점"," 서울특별시 강남구 역삼동 708번지 7호"
"38"," 동경구락부"," 서울특별시 강남구 삼성동 141번지 19호 지상2층201호"
"39"," 채선당 선릉역점"," 서울특별시 강남구 역삼동 705번지 22호 지상2층"
"40"," 투썸플레이스선릉점"," 서울특별시 강남구 역삼동 705번지 25호 지상2층"
"41"," 만강홍"," 서울특별시 강남구 삼성동 141번지 0호 성원빌딩지하1층"
"42"," 상록식당"," 서울특별시 강남구 삼성동 141번지 0호 성원빌딩지하5호"
"43"," 황토군토담면오다리"," 서울특별시 강남구 삼성동 141번지 0호 성윤빌딩지하1층18호"
"44"," 송목"," 서울특별시 강남구 삼성동 141번지 0호 지하1층8호"
"45"," 김밥천국선릉역점"," 서울특별시 강남구 삼성동 141번지 1호"
"46"," 윤가네"," 서울특별시 강남구 삼성동 141번지"
"47"," 원영식당"," 서울특별시 강남구 삼성동 141번지 0호"
"48"," 성원분식"," 서울특별시 강남구 삼성동 141번지 0호"
"49"," 송목딸집"," 서울특별시 강남구 삼성동 141번지"
"50"," 새봄이네"," 서울특별시 강남구 삼성동 141번지"
"51"," 성심석"," 서울특별시 강남구 삼성동 141번지 0호 지하 성원빌딩-1층"
"52"," 에이치제이"," 서울특별시 강남구 역삼동 705번지 24호 지하1층"
"53"," 나무"," 서울특별시 강남구 역삼동 696번지 43호 지하1층"
"54"," 더드림"," 서울특별시 강남구 삼성동 140번지 25호"
"55"," 치우차우"," 서울특별시 강남구 역삼동 696번지 40호 삼능빌딩 지상1층101호"
"56"," 비큐"," 서울특별시 강남구 역삼동 696번지 40호 지하1층"
"57"," 깐부"," 서울특별시 강남구 역삼동 696번지 40호"
"58"," 텃골 선릉점"," 서울특별시 강남구 역삼동 696번지 40호 삼릉빌딩 지하1층"
"59"," 베티"," 서울특별시 강남구 삼성동 140번지 22호"
"60"," 미주"," 서울특별시 강남구 삼성동 140번지 22호 지상2층"
"61"," (주)리빙인그레이스"," 서울특별시 강남구 역삼동 696번지 37호 ,39 지상1층"
"62"," 커핀그루나루 선릉점"," 서울특별시 강남구 역삼동 696번지 36호 지상1층"
"63"," 포몬스선릉점"," 서울특별시 강남구 삼성동 140번지 3호 대림아크로텔 104호"
"64"," 오므토토마토선릉점"," 서울특별시 강남구 삼성동 140번지 3호 대림아크로텔 105호"
"65"," 아라마구로"," 서울특별시 강남구 삼성동 140번지 3호 대림아크로텔 109호"
"66"," 월정스토리"," 서울특별시 강남구 삼성동 140번지 3호 대림아크로텔 1층 107,108,112호"
