"연번","업소명","지번"
"1"," 코나빈스"," 서울특별시 강남구 역삼동 678번지 35호 지상1,2층"
"2"," 오뚝이"," 서울특별시 강남구 역삼동 718번지 1호 1층"
"3"," 아리섬"," 서울특별시 강남구 역삼동 718번지 1호 지하1층"
"4"," (주)신세계푸드 큰길타워정반"," 서울특별시 강남구 역삼동 677번지 25호 큰길타워지하1층"
"5"," 스낵코너"," 서울특별시 강남구 역삼동 676번지 0호"
"6"," 벤돔"," 서울특별시 강남구 역삼동 676번지 0호"
"7"," 이로도리"," 서울특별시 강남구 역삼동 676번지 0호"
"8"," 맨해튼그릴"," 서울특별시 강남구 역삼동 676번지 0호"
"9"," 사비루"," 서울특별시 강남구 역삼동 676번지 0호"
"10"," 트레비라운지"," 서울특별시 강남구 역삼동 676번지 0호"
"11"," 카페엘리제"," 서울특별시 강남구 역삼동 676번지 0호"
"12"," 가빈"," 서울특별시 강남구 역삼동 676번지 0호"
"13"," 르네상스라운지"," 서울특별시 강남구 역삼동 676번지 0호"
"14"," 르네상스서울"," 서울특별시 강남구 역삼동 676번지 0호"
"15"," 클럽호라이즌"," 서울특별시 강남구 역삼동 676번지 0호"
"16"," 스프링"," 서울특별시 강남구 역삼동 720번지 7호 지하1층"
"17"," 뉴욕베이커리카페(주)"," 서울특별시 강남구 역삼동 720번지 7호 유창빌딩 지하2층"
"18"," 명인만두 역삼2호점"," 서울특별시 강남구 역삼동 747번지 22호 지상1층"
"19"," 개성족발"," 서울특별시 강남구 역삼동 734번지 17호 정안빌딩1층"
"20"," 마포 짚불 곱창"," 서울특별시 강남구 역삼동 734번지 17호 지상1층"
"21"," 이게바로 충무김밥"," 서울특별시 강남구 역삼동 747번지 24호 지상1층"
"22"," 죠스떡복기 역삼세무서점"," 서울특별시 강남구 역삼동 747번지 24호"
"23"," 카페7그램"," 서울특별시 강남구 역삼동 734번지 3호"
"24"," 쿠캔비어"," 서울특별시 강남구 역삼동 734번지 3호"
"25"," 레드마블하우스"," 서울특별시 강남구 역삼동 734번지 지상1~2층"
"26"," 비비큐 역삼스타점"," 서울특별시 강남구 역삼동 746번지 23호"
"27"," 모모벤"," 서울특별시 강남구 역삼동 727번지 14호 지상1층"
"28"," 더화덕"," 서울특별시 강남구 역삼동 727번지 14호"
